NM_001025156 chr1 123327643 + 1
NM_029955 chr1 123327643 + 1
NM_178691 chr1 132613903 + 1
NM_178874 chr1 134287858 - 1
NM_172516 chr1 134314029 + 1
NM_133819 chr1 135028039 + 1
NM_007570 chr1 135975732 - 1
NM_028320 chr1 136312043 + 1
NM_153128 chr1 136352131 + 1
NM_152895 chr1 136456754 + 1
NM_021605 chr1 140516273 - 1
NM_025819 chr1 153275511 - 1
NM_028749 chr1 155396844 - 1
NM_011882 chr1 155600059 + 1
NM_022329 chr1 157888046 + 1
NM_172843 chr1 157898712 + 1
NM_001081304 chr1 172797902 - 1
NM_008911 chr1 173211317 - 1
NM_011615 chr1 173259275 + 1
NM_012049 chr1 173275757 - 1
NM_023041 chr1 174056902 + 1
NM_011465 chr1 176102998 + 1
NM_026626 chr1 180336011 + 1
NM_145514 chr1 183141514 - 1
NM_007853 chr1 184212890 - 1
NM_001081259 chr1 192850069 - 1
NM_001081080 chr1 30920101 - 1
NM_153408 chr1 36330270 - 1
NM_018872 chr1 36996372 - 1
NM_172054 chr1 38054053 - 1
NM_028091 chr1 53370506 + 1
NM_133810 chr1 53841998 - 1
NM_025283 chr1 55188088 + 1
NM_172406 chr1 59003342 - 1
NM_172656 chr1 59030414 + 1
NM_173444 chr1 60237442 + 1
NM_009826 chr1 6204742 + 1
NM_001042659 chr1 64784324 - 1
NM_022721 chr1 64784324 - 1
NM_170755 chr1 75139359 + 1
NM_001003917 chr1 75188497 - 1
NM_016878 chr1 75313592 - 1
NM_001110831 chr1 75314212 - 1
NM_001111279 chr1 79758344 - 1
NM_027057 chr1 79758344 - 1
NM_010472 chr1 82836057 + 1
NM_025386 chr1 84836429 + 1
NM_172974 chr1 88483674 + 1
NM_001039126 chr1 93437141 + 1
NM_023046 chr1 93437656 + 1
NM_021537 chr1 95532304 - 1
NM_173443 chr1 9738463 - 1
NM_133220 chr1 9788210 + 1
NM_177547 chr1 9788210 + 1
NM_001037759 chr1 9838361 + 1
NM_027968 chr10 11001171 + 1
NM_025706 chr10 114688521 - 1
NM_019786 chr10 121023803 - 1
NM_007837 chr10 126727848 + 1
NM_001033432 chr10 17667873 - 1
NM_025798 chr10 30338172 - 1
NM_001111267 chr10 30375673 - 1
NM_001114332 chr10 39862060 - 1
NM_028247 chr10 39862060 - 1
NM_198164 chr10 40069142 + 1
NM_172473 chr10 45297694 + 1
NM_144822 chr10 59165382 + 1
NM_011179 chr10 59740485 + 1
NM_010438 chr10 61842631 - 1
NM_175133 chr10 74980067 - 1
NM_008185 chr10 75261329 - 1
NM_008404 chr10 76993092 + 1
NM_145925 chr10 77044511 + 1
NM_173751 chr10 78037286 + 1
NM_023138 chr10 80568691 + 1
NM_053072 chr10 93498745 + 1
NM_028024 chr11 100484268 + 1
NM_011489 chr11 100683884 - 1
NM_001113563 chr11 100711899 - 1
NM_011486 chr11 100800825 - 1
NM_213659 chr11 100800825 - 1
NM_213660 chr11 100800825 - 1
NM_016920 chr11 100870768 + 1
NM_028933 chr11 100981157 - 1
NM_026501 chr11 100981138 - 1
NM_007970 chr11 101089262 - 1
NM_025654 chr11 101489262 + 1
NM_001077696 chr11 102091486 - 1
NM_010412 chr11 102091486 - 1
NM_183034 chr11 103273978 - 1
NM_016780 chr11 104469313 + 1
NM_023913 chr11 106349110 - 1
NM_010303 chr11 109224107 + 1
NM_145940 chr11 109472703 - 1
NM_020006 chr11 113612632 - 1
NM_016852 chr11 115948278 - 1
NM_015729 chr11 116060359 - 1
NM_016857 chr11 116167987 - 1
NM_178620 chr11 116715328 + 1
NM_027827 chr11 117687237 + 1
NM_018822 chr11 119216824 - 1
NM_178743 chr11 119216870 + 1
NM_026272 chr11 121098549 + 1
NM_022014 chr11 121296281 + 1
NM_001038699 chr11 121296285 + 1
NM_001038625 chr11 20531979 + 1
NM_181411 chr11 20641487 - 1
NM_139061 chr11 21139283 + 1
NM_011663 chr11 22872028 + 1
NM_025740 chr11 29147272 - 1
NM_134013 chr11 30671774 + 1
NM_026252 chr11 31772210 + 1
NM_145355 chr11 3352328 - 1
NM_015749 chr11 3832047 - 1
NM_145377 chr11 48630893 - 1
NM_007454 chr11 4886907 + 1
NM_016961 chr11 49660255 + 1
NM_207692 chr11 49660255 + 1
NM_025346 chr11 51449398 - 1
NM_021283 chr11 53432167 - 1
NM_013842 chr11 5420969 + 1
NM_175258 chr11 54336348 + 1
NM_018738 chr11 58013057 + 1
NM_009021 chr11 59918514 + 1
NM_001037764 chr11 59953583 + 1
NM_001039092 chr11 60166407 - 1
NM_153080 chr11 60166407 - 1
NM_001039093 chr11 60166407 - 1
NM_008502 chr11 60513341 + 1
NM_025294 chr11 60727292 - 1
NM_011706 chr11 62387987 + 1
NM_023668 chr11 68666555 - 1
NM_009497 chr11 68902029 + 1
NM_144824 chr11 69392826 - 1
NM_013415 chr11 69419462 - 1
NM_026991 chr11 69435610 + 1
NM_026982 chr11 69652026 + 1
NM_172371 chr11 70034496 - 1
NM_173742 chr11 70053348 - 1
ENSMUST00000045303 chr11 72303422 - 1
ENSMUST00000092941 chr11 72270121 - 1
NM_001045536 chr11 72609727 + 1
NM_029031 chr11 73012983 + 1
NM_173388 chr11 75345211 + 1
NM_145430 chr11 77908174 + 1
NM_080849 chr11 77990168 - 1
NM_026708 chr11 77992267 + 1
NM_018854 chr11 78349937 + 1
NM_177564 chr11 84642488 - 1
ENSMUST00000100684 chr11 84684404 + 1
NM_001080931 chr11 86171027 - 1
NM_019756 chr11 86358509 + 1
NM_029478 chr11 86497324 - 1
NM_001005341 chr11 86807264 - 1
NM_025638 chr11 86887550 - 1
NM_146025 chr11 94871192 + 1
NM_172543 chr11 95198331 + 1
NM_134021 chr11 96805333 - 1
NM_001080964 chr11 96839002 - 1
NM_030220 chr11 96839002 - 1
NM_021493 chr11 97311473 + 1
NM_028149 chr11 98010930 - 1
NM_021347 chr11 98525664 + 1
NM_197940 chr11 98725122 + 1
NM_026681 chr12 102267193 - 1
NM_011175 chr12 103677907 - 1
ENSMUST00000104395 chr12 106269559 - 1
NM_011710 chr12 110131407 - 1
NM_015763 chr12 16596576 - 1
NM_172950 chr12 16596576 - 1
NM_026347 chr12 21322252 + 1
NM_001083341 chr12 25516463 + 1
NM_026037 chr12 25516463 + 1
NM_013709 chr12 31596533 + 1
NM_153198 chr12 32635088 - 1
NM_177993 chr12 32635088 - 1
NM_172421 chr12 3426883 + 1
NM_001014973 chr12 35731888 + 1
NM_007487 chr12 40763963 - 1
NM_001039515 chr12 40764574 - 1
NM_016863 chr12 4848401 - 1
NM_145441 chr12 4914326 - 1
NM_001033156 chr12 60320470 - 1
NM_178253 chr12 70342818 + 1
NM_028339 chr12 71554140 + 1
NM_026102 chr12 72932064 + 1
NM_172464 chr12 72932064 + 1
NM_008910 chr12 73862590 + 1
NM_013675 chr12 77811534 - 1
NM_023721 chr12 79962625 - 1
NM_001008550 chr12 80397269 - 1
NM_177267 chr12 81537526 - 1
NM_178682 chr12 81891545 + 1
NM_023409 chr12 86114062 - 1
NM_178065 chr12 86311836 - 1
NM_134044 chr12 88605194 - 1
NM_030731 chr13 104969177 + 1
NM_013483 chr13 23557770 - 1
NM_178196 chr13 23663268 + 1
NM_178194 chr13 23712993 - 1
NM_023422 chr13 23776067 + 1
NM_015786 chr13 23830675 + 1
NM_175664 chr13 23838602 + 1
NM_020282 chr13 34056619 + 1
NM_013830 chr13 34967362 + 1
NM_134060 chr13 39052401 - 1
NM_025387 chr13 41111660 + 1
NM_025772 chr13 45097465 - 1
NM_025508 chr13 45602837 + 1
NM_011817 chr13 51942063 + 1
NM_012017 chr13 55206669 + 1
NM_001122989 chr13 64349846 - 1
NM_172587 chr13 64376296 - 1
NM_009984 chr13 64471614 - 1
NM_178916 chr13 76156010 - 1
NM_030257 chr13 81796804 + 1
NM_021310 chr13 94269644 - 1
NM_029561 chr14 105658020 + 1
NM_175341 chr14 120674890 + 1
NM_207515 chr14 120674890 + 1
NM_134079 chr14 21871854 + 1
NM_009388 chr14 31362334 + 1
NM_022656 chr14 32020012 - 1
NM_001004436 chr14 35487113 + 1
NM_025959 chr14 45949498 + 1
NM_001039106 chr14 46277818 - 1
NM_001042719 chr14 46277818 - 1
NM_176845 chr14 46277818 - 1
NM_026832 chr14 47451918 + 1
NM_172599 chr14 48188089 - 1
NM_001033271 chr14 51550524 - 1
NM_134076 chr14 54878971 + 1
NM_133734 chr14 56178868 + 1
NM_033146 chr14 56204091 - 1
NM_008394 chr14 56223415 + 1
NM_001014996 chr14 57190669 - 1
NM_144843 chr14 60884064 + 1
NM_007798 chr14 63741301 + 1
NM_001081177 chr14 65271367 + 1
NM_177338 chr14 65568684 - 1
NM_009761 chr14 67627714 - 1
NM_001111028 chr14 68334154 + 1
NM_134073 chr14 68334154 + 1
NM_026331 chr14 69903160 - 1
NM_153136 chr14 70977653 + 1
NM_013514 chr14 71029961 - 1
NM_207652 chr14 76815627 + 1
NM_007920 chr14 79881000 + 1
NM_144547 chr15 102275850 + 1
NM_025494 chr15 38591658 + 1
NM_024207 chr15 57723973 - 1
NM_001081396 chr15 57743753 + 1
NM_175212 chr15 58654982 - 1
NM_144800 chr15 58913544 - 1
NM_153548 chr15 59205707 - 1
NM_001081065 chr15 75799614 + 1
NM_023168 chr15 76077236 + 1
ENSMUST00000043587 chr15 76210942 + 1
ENSMUST00000092595 chr15 76220463 + 1
ENSMUST00000096385 chr15 76222812 + 1
NM_172960 chr15 76406788 + 1
NM_007781 chr15 78136033 - 1
NM_007780 chr15 78156419 + 1
NM_138670 chr15 78237533 + 1
NM_013818 chr15 79521325 + 1
NM_194342 chr15 79572960 - 1
NM_177124 chr15 80629039 + 1
NM_134091 chr15 80808234 + 1
NM_020507 chr15 81688756 - 1
NM_013872 chr15 81791297 - 1
NM_172428 chr15 81958351 + 1
NM_033218 chr15 81977698 + 1
NM_025445 chr15 83180677 - 1
NM_027805 chr15 89041989 + 1
NM_026813 chr15 89041989 + 1
NM_001081030 chr15 89145742 - 1
NM_009713 chr15 89307856 - 1
NM_178922 chr16 17233679 + 1
